sensor,time,t,ax,ay,az,wx,wy,wz,lat,lon,alt,v_kmh,satellites,x,y
acc,1778675319.0,64.0,0.078125,0.394531,-9.652344,,,,,,,,,,
acc,1778675319.0,64.0,0.078125,0.394531,-9.613281,,,,,,,,,,
acc,1778675319.0,64.0,0.117188,0.433594,-9.652344,,,,,,,,,,
acc,1778675319.0,64.0,0.117188,0.472656,-9.648438,,,,,,,,,,
acc,1778675319.0,64.0,0.117188,0.433594,-9.613281,,,,,,,,,,
acc,1778675319.0,64.0,0.117188,0.472656,-9.648438,,,,,,,,,,
acc,1778675319.0,64.0,0.15625,0.511719,-9.648438,,,,,,,,,,
acc,1778675319.0,64.0,0.15625,0.511719,-9.691406,,,,,,,,,,
acc,1778675319.0,64.0,0.15625,0.511719,-9.730469,,,,,,,,,,
acc,1778675319.0,64.0,0.191406,0.550781,-9.730469,,,,,,,,,,
acc,1778675319.0,64.0,0.15625,0.550781,-9.761719,,,,,,,,,,
acc,1778675319.0,64.0,0.15625,0.585938,-9.761719,,,,,,,,,,
acc,1778675319.0,64.0,0.191406,0.585938,-9.800781,,,,,,,,,,
acc,1778675319.0,64.0,0.191406,0.585938,-9.800781,,,,,,,,,,
acc,1778675319.0,64.0,0.15625,0.585938,-9.839844,,,,,,,,,,
acc,1778675319.0,64.0,0.15625,0.585938,-9.839844,,,,,,,,,,
acc,1778675319.0,64.0,0.117188,0.585938,-9.878906,,,,,,,,,,
acc,1778675319.0,64.0,0.15625,0.550781,-9.878906,,,,,,,,,,
acc,1778675319.0,64.0,0.117188,0.511719,-9.875,,,,,,,,,,
acc,1778675319.0,64.0,0.117188,0.472656,-9.914062,,,,,,,,,,
acc,1778675319.0,64.0,0.078125,0.472656,-9.953125,,,,,,,,,,
acc,1778675319.0,64.0,0.078125,0.433594,-9.957031,,,,,,,,,,
acc,1778675319.0,64.0,0.039062,0.433594,-9.996094,,,,,,,,,,
acc,1778675319.0,64.0,0.039062,0.433594,-9.957031,,,,,,,,,,
