sensor,time,t,ax,ay,az,wx,wy,wz,lat,lon,alt,v_kmh,satellites,x,y
acc,1778673004.0,3.0,-0.074219,0.128906,-9.796875,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.128906,-9.839844,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.128906,-9.839844,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778673004.0,3.0,-0.113281,0.164062,-9.839844,,,,,,,,,,
acc,1778673004.0,3.0,-0.113281,0.164062,-9.796875,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.757812,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.128906,-9.839844,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.113281,0.164062,-9.839844,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.113281,0.164062,-9.796875,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.113281,0.128906,-9.757812,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.757812,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.128906,-9.796875,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.128906,-9.796875,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.128906,-9.796875,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.128906,-9.796875,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.128906,-9.796875,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.035156,0.128906,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.035156,0.128906,-9.757812,,,,,,,,,,
acc,1778673004.0,3.0,-0.035156,0.164062,-9.796875,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.128906,-9.796875,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.203125,-9.835938,,,,,,,,,,
