sensor,time,t,ax,ay,az,wx,wy,wz,lat,lon,alt,v_kmh,satellites,x,y
acc,1778672777.0,196.0,-0.035156,0.203125,-9.796875,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.035156,0.203125,-9.796875,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.113281,0.203125,-9.839844,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.757812,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.113281,0.164062,-9.839844,,,,,,,,,,
acc,1778672777.0,196.0,-0.113281,0.203125,-9.796875,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.113281,0.164062,-9.839844,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.757812,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.113281,0.164062,-9.796875,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.757812,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.035156,0.164062,-9.796875,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.035156,0.203125,-9.796875,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.035156,0.164062,-9.761719,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.113281,0.203125,-9.796875,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.835938,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.203125,-9.800781,,,,,,,,,,
acc,1778672777.0,196.0,-0.113281,0.203125,-9.796875,,,,,,,,,,
acc,1778672777.0,196.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
