source_file,maneuver,setting,trial,notes
ts_xxx.csv,acceleration,soft,1,
ts_xxx.csv,acceleration,soft,2,
ts_xxx.csv,acceleration,soft,3,
ts_xxx.csv,acceleration,medium,1,
ts_xxx.csv,acceleration,medium,2,
ts_xxx.csv,acceleration,medium,3,
ts_xxx.csv,acceleration,hard,1,
ts_xxx.csv,acceleration,hard,2,
ts_xxx.csv,acceleration,hard,3,
ts_xxx.csv,braking,soft,1,
ts_xxx.csv,braking,soft,2,
ts_xxx.csv,braking,soft,3,
ts_xxx.csv,braking,medium,1,
ts_xxx.csv,braking,medium,2,
ts_xxx.csv,braking,medium,3,
ts_xxx.csv,braking,hard,1,
ts_xxx.csv,braking,hard,2,
ts_xxx.csv,braking,hard,3,
ts_xxx.csv,cornering,soft,1,
ts_xxx.csv,cornering,soft,2,
ts_xxx.csv,cornering,soft,3,
ts_xxx.csv,cornering,medium,1,
ts_xxx.csv,cornering,medium,2,
ts_xxx.csv,cornering,medium,3,
ts_xxx.csv,cornering,hard,1,
ts_xxx.csv,cornering,hard,2,
ts_xxx.csv,cornering,hard,3,
